Date,Open,High,Low,Close,Volume,Adj Close
2016-10-20,894.450012,897.369995,888.27002,895.109985,000,895.109985
2016-10-19,891.25,894.630005,887.97998,893.200012,000,893.200012
2016-10-18,885.039978,892.039978,884.849976,890.109985,000,890.109985
2016-10-17,881.460022,884.880005,878.599976,880.150024,000,880.150024
2016-10-14,874.840027,888.880005,874.789978,884.549988,000,884.549988
2016-10-13,874.97998,874.97998,866.00,871.380005,000,871.380005
2016-10-12,883.02002,885.280029,879.27002,879.890015,000,879.890015
2016-10-11,886.119995,891.48999,882.820007,883.559998,000,883.559998
2016-10-10,879.27002,887.559998,873.859985,887.200012,000,887.200012
2016-10-07,884.780029,885.150024,876.409973,877.450012,000,877.450012
2016-10-06,889.789978,891.409973,883.359985,884.359985,000,884.359985
2016-10-05,883.390015,888.799988,879.330017,887.140015,000,887.140015
2016-10-04,882.619995,893.909973,881.900024,891.02002,000,891.02002
2016-10-03,881.080017,884.809998,878.539978,881.559998,000,881.559998
2016-09-30,868.75,884.109985,862.380005,881.47998,000,881.47998
2016-09-29,889.51001,891.609985,878.409973,880.02002,000,880.02002
2016-09-28,877.880005,883.030029,876.919983,879.549988,000,879.549988
2016-09-27,879.549988,880.109985,866.23999,872.679993,000,872.679993
2016-09-26,880.950012,881.059998,871.960022,873.52002,000,873.52002
2016-09-23,887.690002,888.27002,884.679993,886.73999,000,886.73999
2016-09-22,878.919983,894.109985,878.52002,890.51001,000,890.51001
2016-09-21,877.969971,879.700012,872.22998,872.940002,000,872.940002
2016-09-20,866.909973,873.48999,866.080017,868.619995,000,868.619995
2016-09-19,864.789978,869.97998,864.190002,868.809998,000,868.809998
2016-09-16,861.840027,865.47998,854.359985,857.719971,000,857.719971
2016-09-15,859.030029,865.27002,857.789978,864.210022,000,864.210022
2016-09-14,868.080017,868.080017,859.710022,860.950012,000,860.950012
2016-09-13,877.960022,879.119995,864.119995,864.25,000,864.25
2016-09-12,869.02002,873.840027,863.23999,873.840027,000,873.840027
2016-09-09,890.950012,893.340027,880.950012,882.98999,000,882.98999
2016-09-08,896.150024,898.789978,884.030029,893.429993,000,893.429993
2016-09-07,893.909973,898.390015,891.330017,897.570007,000,897.570007
2016-09-06,897.48999,897.98999,891.98999,892.880005,000,892.880005
2016-09-05,897.559998,899.960022,895.640015,896.039978,000,896.039978
2016-09-02,879.400024,896.820007,877.559998,895.679993,000,895.679993
2016-09-01,878.00,884.880005,872.890015,875.950012,000,875.950012
2016-08-31,878.900024,884.950012,875.950012,875.950012,000,875.950012
2016-08-30,876.580017,883.080017,876.460022,879.869995,000,879.869995
2016-08-29,872.48999,875.52002,867.580017,873.909973,000,873.909973
2016-08-26,868.909973,878.75,867.109985,876.25,000,876.25
2016-08-25,871.780029,872.429993,865.950012,870.27002,000,870.27002
2016-08-24,868.27002,877.849976,866.789978,875.25,000,875.25
2016-08-23,870.320007,876.099976,870.090027,873.780029,000,873.780029
2016-08-22,868.559998,876.330017,864.559998,867.130005,000,867.130005
2016-08-19,874.219971,874.280029,864.219971,868.590027,000,868.590027
2016-08-18,875.570007,876.01001,871.140015,874.530029,000,874.530029
2016-08-17,879.820007,880.369995,869.950012,870.27002,000,870.27002
2016-08-16,881.380005,884.73999,877.780029,877.820007,000,877.820007
2016-08-15,886.679993,891.059998,885.539978,885.940002,000,885.940002
2016-08-12,885.26001,886.570007,883.559998,885.309998,000,885.309998
2016-08-11,879.210022,885.50,874.849976,885.50,000,885.50
2016-08-10,874.700012,878.460022,874.450012,876.22998,000,876.22998
2016-08-09,869.419983,878.719971,869.320007,878.669983,000,878.669983
2016-08-08,870.469971,874.27002,868.369995,869.77002,000,869.77002
2016-08-05,862.00,870.919983,861.030029,869.609985,000,869.609985
